table_key,report_id,line_position,source_path,anomaly
HDG_financial_statements_2024_consolidated|54,HDG_financial_statements_2024_consolidated,54,financial_statements/HDG/2024/HDG_financial_statements_2024_consolidated/HDG_financial_statements_2024_consolidated_extracted.txt,n_rows>200:390
HPX_financial_statements_2019_consolidated|1882,HPX_financial_statements_2019_consolidated,1882,financial_statements/HPX/2019/HPX_financial_statements_2019_consolidated/HPX_financial_statements_2019_consolidated_extracted.txt,n_rows>200:241
HSG_financial_statements_2015_consolidated|1237,HSG_financial_statements_2015_consolidated,1237,financial_statements/HSG/2015/HSG_financial_statements_2015_consolidated/HSG_financial_statements_2015_consolidated_extracted.txt,n_rows>200:231
HSG_financial_statements_2021_separate|1224,HSG_financial_statements_2021_separate,1224,financial_statements/HSG/2021/HSG_financial_statements_2021_separate/HSG_financial_statements_2021_separate_extracted.txt,n_rows>200:409
HUT_financial_statements_2015_separate|1163,HUT_financial_statements_2015_separate,1163,financial_statements/HUT/2015/HUT_financial_statements_2015_separate/HUT_financial_statements_2015_separate_extracted.txt,n_rows>200:366
MPC_financial_statements_2016_separate|625,MPC_financial_statements_2016_separate,625,financial_statements/MPC/2016/MPC_financial_statements_2016_separate/MPC_financial_statements_2016_separate_extracted.txt,n_cols>50:1918
MPC_financial_statements_2016_separate|637,MPC_financial_statements_2016_separate,637,financial_statements/MPC/2016/MPC_financial_statements_2016_separate/MPC_financial_statements_2016_separate_extracted.txt,n_cols>50:1954
MPC_financial_statements_2020_separate|737,MPC_financial_statements_2020_separate,737,financial_statements/MPC/2020/MPC_financial_statements_2020_separate/MPC_financial_statements_2020_separate_extracted.txt,n_cols>50:1596
MWG_financial_statements_2015_separate|604,MWG_financial_statements_2015_separate,604,financial_statements/MWG/2015/MWG_financial_statements_2015_separate/MWG_financial_statements_2015_separate_extracted.txt,n_rows>200:211
MWG_financial_statements_2018_separate|674,MWG_financial_statements_2018_separate,674,financial_statements/MWG/2018/MWG_financial_statements_2018_separate/MWG_financial_statements_2018_separate_extracted.txt,n_rows>200:220
MWG_financial_statements_2019_separate|687,MWG_financial_statements_2019_separate,687,financial_statements/MWG/2019/MWG_financial_statements_2019_separate/MWG_financial_statements_2019_separate_extracted.txt,n_rows>200:235
NAB_financial_statements_2022_separate|2041,NAB_financial_statements_2022_separate,2041,financial_statements/NAB/2022/NAB_financial_statements_2022_separate/NAB_financial_statements_2022_separate_extracted.txt,n_rows>200:931
NKG_financial_statements_2021_consolidated|181,NKG_financial_statements_2021_consolidated,181,financial_statements/NKG/2021/NKG_financial_statements_2021_consolidated/NKG_financial_statements_2021_consolidated_extracted.txt,n_rows>200:236
NKG_financial_statements_2024_separate|1358,NKG_financial_statements_2024_separate,1358,financial_statements/NKG/2024/NKG_financial_statements_2024_separate/NKG_financial_statements_2024_separate_extracted.txt,n_rows>200:371
NKG_financial_statements_2025_separate|1148,NKG_financial_statements_2025_separate,1148,financial_statements/NKG/2025/NKG_financial_statements_2025_separate/NKG_financial_statements_2025_separate_extracted.txt,n_rows>200:371
NLG_financial_statements_2017_separate|1245,NLG_financial_statements_2017_separate,1245,financial_statements/NLG/2017/NLG_financial_statements_2017_separate/NLG_financial_statements_2017_separate_extracted.txt,n_rows>200:258
NLG_financial_statements_2021_separate|1326,NLG_financial_statements_2021_separate,1326,financial_statements/NLG/2021/NLG_financial_statements_2021_separate/NLG_financial_statements_2021_separate_extracted.txt,n_rows>200:258
NVL_financial_statements_2019_consolidated|1413,NVL_financial_statements_2019_consolidated,1413,financial_statements/NVL/2019/NVL_financial_statements_2019_consolidated/NVL_financial_statements_2019_consolidated_extracted.txt,n_rows>200:368
NVL_financial_statements_2020_consolidated|2187,NVL_financial_statements_2020_consolidated,2187,financial_statements/NVL/2020/NVL_financial_statements_2020_consolidated/NVL_financial_statements_2020_consolidated_extracted.txt,n_rows>200:581
PC1_financial_statements_2021_consolidated|1119,PC1_financial_statements_2021_consolidated,1119,financial_statements/PC1/2021/PC1_financial_statements_2021_consolidated/PC1_financial_statements_2021_consolidated_extracted.txt,n_rows>200:365
PDR_financial_statements_2024_separate|270,PDR_financial_statements_2024_separate,270,financial_statements/PDR/2024/PDR_financial_statements_2024_separate/PDR_financial_statements_2024_separate_extracted.txt,n_rows>200:313
PNJ_financial_statements_2020_consolidated|602,PNJ_financial_statements_2020_consolidated,602,financial_statements/PNJ/2020/PNJ_financial_statements_2020_consolidated/PNJ_financial_statements_2020_consolidated_extracted.txt,n_rows>200:363
PNJ_financial_statements_2025_consolidated|1190,PNJ_financial_statements_2025_consolidated,1190,financial_statements/PNJ/2025/PNJ_financial_statements_2025_consolidated/PNJ_financial_statements_2025_consolidated_extracted.txt,n_rows>200:371
POW_financial_statements_2017_consolidated|787,POW_financial_statements_2017_consolidated,787,financial_statements/POW/2017/POW_financial_statements_2017_consolidated/POW_financial_statements_2017_consolidated_extracted.txt,n_cols>50:1134
SCR_financial_statements_2021_consolidated|1608,SCR_financial_statements_2021_consolidated,1608,financial_statements/SCR/2021/SCR_financial_statements_2021_consolidated/SCR_financial_statements_2021_consolidated_extracted.txt,n_rows>200:213
SGB_financial_statements_2016_separate|1281,SGB_financial_statements_2016_separate,1281,financial_statements/SGB/2016/SGB_financial_statements_2016_separate/SGB_financial_statements_2016_separate_extracted.txt,n_rows>200:212
TTF_financial_statements_2017_consolidated|315,TTF_financial_statements_2017_consolidated,315,financial_statements/TTF/2017/TTF_financial_statements_2017_consolidated/TTF_financial_statements_2017_consolidated_extracted.txt,n_rows>200:430
VCB_financial_statements_2017_consolidated|1358,VCB_financial_statements_2017_consolidated,1358,financial_statements/VCB/2017/VCB_financial_statements_2017_consolidated/VCB_financial_statements_2017_consolidated_extracted.txt,n_rows>200:363
VCB_financial_statements_2017_separate|1383,VCB_financial_statements_2017_separate,1383,financial_statements/VCB/2017/VCB_financial_statements_2017_separate/VCB_financial_statements_2017_separate_extracted.txt,n_rows>200:365
VCB_financial_statements_2025_consolidated|1495,VCB_financial_statements_2025_consolidated,1495,financial_statements/VCB/2025/VCB_financial_statements_2025_consolidated/VCB_financial_statements_2025_consolidated_extracted.txt,n_rows>200:347
VGC_financial_statements_2021_separate|1666,VGC_financial_statements_2021_separate,1666,financial_statements/VGC/2021/VGC_financial_statements_2021_separate/VGC_financial_statements_2021_separate_extracted.txt,n_rows>200:1008
VIC_financial_statements_2018_separate|1497,VIC_financial_statements_2018_separate,1497,financial_statements/VIC/2018/VIC_financial_statements_2018_separate/VIC_financial_statements_2018_separate_extracted.txt,n_rows>200:697
VJC_financial_statements_2021_consolidated|1270,VJC_financial_statements_2021_consolidated,1270,financial_statements/VJC/2021/VJC_financial_statements_2021_consolidated/VJC_financial_statements_2021_consolidated_extracted.txt,n_rows>200:369
VJC_financial_statements_2025_separate|1470,VJC_financial_statements_2025_separate,1470,financial_statements/VJC/2025/VJC_financial_statements_2025_separate/VJC_financial_statements_2025_separate_extracted.txt,n_rows>200:340
VSC_financial_statements_2024_separate|1509,VSC_financial_statements_2024_separate,1509,financial_statements/VSC/2024/VSC_financial_statements_2024_separate/VSC_financial_statements_2024_separate_extracted.txt,n_rows>200:360
VSC_financial_statements_2025_consolidated|1732,VSC_financial_statements_2025_consolidated,1732,financial_statements/VSC/2025/VSC_financial_statements_2025_consolidated/VSC_financial_statements_2025_consolidated_extracted.txt,n_rows>200:368
