report_id,n_tables,n_ok,n_warn,n_fail
BAB_financial_statements_2024_separate,73,73,0,0
BAB_financial_statements_2025_consolidated,76,76,0,0
BAB_financial_statements_2025_separate,71,71,0,0
BAF_financial_statements_2020_consolidated,69,69,0,0
BAF_financial_statements_2020_separate,61,61,0,0
BAF_financial_statements_2021_consolidated,75,75,0,0
BAF_financial_statements_2021_separate,68,68,0,0
BAF_financial_statements_2022_consolidated,75,75,0,0
BAF_financial_statements_2022_separate,77,77,0,0
BAF_financial_statements_2023_consolidated,68,68,0,0
BAF_financial_statements_2023_separate,72,72,0,0
BAF_financial_statements_2024_consolidated,68,68,0,0
BAF_financial_statements_2024_separate,77,77,0,0
BAF_financial_statements_2025_consolidated,76,76,0,0
BAF_financial_statements_2025_separate,89,89,0,0
BID_financial_statements_2015_consolidated,101,101,0,0
BID_financial_statements_2015_separate,97,97,0,0
BID_financial_statements_2016_consolidated,105,105,0,0
BID_financial_statements_2016_separate,88,88,0,0
BID_financial_statements_2017_consolidated,96,96,0,0
BID_financial_statements_2017_separate,93,93,0,0
BID_financial_statements_2018_consolidated,96,96,0,0
BID_financial_statements_2018_separate,93,93,0,0
BID_financial_statements_2019_consolidated,94,94,0,0
BID_financial_statements_2019_separate,90,90,0,0
BID_financial_statements_2020_consolidated,92,92,0,0
BID_financial_statements_2020_separate,87,87,0,0
BID_financial_statements_2021_consolidated,92,92,0,0
BID_financial_statements_2022_consolidated,97,97,0,0
BID_financial_statements_2022_separate,91,91,0,0
BID_financial_statements_2023_consolidated,98,98,0,0
BID_financial_statements_2023_separate,93,93,0,0
BID_financial_statements_2024_consolidated,114,114,0,0
BID_financial_statements_2024_separate,110,110,0,0
BID_financial_statements_2025_consolidated,99,99,0,0
BID_financial_statements_2025_separate,93,93,0,0
BSR_financial_statements_2017_consolidated,49,49,0,0
BSR_financial_statements_2017_separate,50,50,0,0
BSR_financial_statements_2018_consolidated,57,57,0,0
BSR_financial_statements_2018_separate,55,55,0,0
BSR_financial_statements_2019_consolidated,55,55,0,0
BSR_financial_statements_2019_separate,49,49,0,0
BSR_financial_statements_2020_consolidated,54,54,0,0
BSR_financial_statements_2020_separate,49,49,0,0
BSR_financial_statements_2021_consolidated,56,56,0,0
BSR_financial_statements_2021_separate,51,51,0,0
BSR_financial_statements_2022_consolidated,57,57,0,0
BSR_financial_statements_2022_separate,53,53,0,0
BSR_financial_statements_2023_consolidated,59,59,0,0
BSR_financial_statements_2023_separate,50,50,0,0
BSR_financial_statements_2024_consolidated,57,57,0,0
BSR_financial_statements_2024_separate,53,53,0,0
BSR_financial_statements_2025_consolidated,56,56,0,0
BSR_financial_statements_2025_separate,54,54,0,0
BVH_financial_statements_2015_consolidated,102,102,0,0
BVH_financial_statements_2015_separate,62,62,0,0
BVH_financial_statements_2016_consolidated,107,107,0,0
BVH_financial_statements_2016_separate,68,68,0,0
BVH_financial_statements_2017_consolidated,107,107,0,0
BVH_financial_statements_2017_separate,66,66,0,0
BVH_financial_statements_2018_consolidated,118,118,0,0
BVH_financial_statements_2018_separate,68,68,0,0
BVH_financial_statements_2019_consolidated,129,129,0,0
BVH_financial_statements_2019_separate,69,69,0,0
BVH_financial_statements_2020_consolidated,103,103,0,0
BVH_financial_statements_2020_separate,68,68,0,0
BVH_financial_statements_2021_consolidated,101,101,0,0
BVH_financial_statements_2021_separate,70,70,0,0
BVH_financial_statements_2022_consolidated,111,111,0,0
BVH_financial_statements_2022_separate,67,67,0,0
BVH_financial_statements_2023_consolidated,102,102,0,0
BVH_financial_statements_2023_separate,63,63,0,0
BVH_financial_statements_2024_consolidated,133,133,0,0
BVH_financial_statements_2024_separate,74,74,0,0
BVH_financial_statements_2025_consolidated,100,100,0,0
BVH_financial_statements_2025_separate,70,70,0,0
CEO_financial_statements_2015_consolidated,53,53,0,0
CEO_financial_statements_2015_separate,50,50,0,0
CEO_financial_statements_2016_consolidated,59,59,0,0
CEO_financial_statements_2016_separate,48,48,0,0
CEO_financial_statements_2017_consolidated,64,64,0,0
CEO_financial_statements_2017_separate,65,65,0,0
CEO_financial_statements_2018_consolidated,63,63,0,0
CEO_financial_statements_2018_separate,61,61,0,0
CEO_financial_statements_2019_consolidated,61,61,0,0
CEO_financial_statements_2019_separate,62,62,0,0
CEO_financial_statements_2020_consolidated,64,64,0,0
CEO_financial_statements_2020_separate,59,59,0,0
CEO_financial_statements_2021_consolidated,64,64,0,0
CEO_financial_statements_2021_separate,66,66,0,0
CEO_financial_statements_2022_consolidated,64,64,0,0
CEO_financial_statements_2022_separate,61,61,0,0
CEO_financial_statements_2023_consolidated,59,59,0,0
CEO_financial_statements_2023_separate,67,67,0,0
CEO_financial_statements_2024_consolidated,67,67,0,0
CEO_financial_statements_2024_separate,58,58,0,0
CEO_financial_statements_2025_consolidated,66,66,0,0
CEO_financial_statements_2025_separate,58,58,0,0
CRE_financial_statements_2016_consolidated,59,59,0,0
CRE_financial_statements_2016_separate,41,41,0,0
CRE_financial_statements_2017_consolidated,39,39,0,0
CRE_financial_statements_2017_separate,41,41,0,0
CRE_financial_statements_2018_consolidated,39,39,0,0
CRE_financial_statements_2018_separate,36,36,0,0
CRE_financial_statements_2019_consolidated,38,38,0,0
CRE_financial_statements_2019_separate,35,35,0,0
CRE_financial_statements_2020_consolidated,67,67,0,0
CRE_financial_statements_2020_separate,64,64,0,0
CRE_financial_statements_2021_consolidated,70,70,0,0
CRE_financial_statements_2021_separate,61,61,0,0
CRE_financial_statements_2022_consolidated,75,75,0,0
CRE_financial_statements_2022_separate,67,67,0,0
CRE_financial_statements_2023_consolidated,88,88,0,0
CRE_financial_statements_2023_separate,68,68,0,0
CRE_financial_statements_2024_consolidated,90,90,0,0
CRE_financial_statements_2024_separate,81,81,0,0
CRE_financial_statements_2025_consolidated,87,87,0,0
CRE_financial_statements_2025_separate,85,85,0,0
CTG_financial_statements_2015_consolidated,97,97,0,0
CTG_financial_statements_2015_separate,94,94,0,0
CTG_financial_statements_2016_consolidated,90,90,0,0
CTG_financial_statements_2016_separate,85,85,0,0
CTG_financial_statements_2017_consolidated,87,87,0,0
CTG_financial_statements_2017_separate,84,84,0,0
CTG_financial_statements_2018_consolidated,83,83,0,0
CTG_financial_statements_2018_separate,80,80,0,0
CTG_financial_statements_2019_consolidated,85,85,0,0
CTG_financial_statements_2019_separate,81,81,0,0
CTG_financial_statements_2020_consolidated,89,89,0,0
CTG_financial_statements_2020_separate,84,84,0,0
CTG_financial_statements_2021_consolidated,91,91,0,0
CTG_financial_statements_2021_separate,86,86,0,0
CTG_financial_statements_2022_consolidated,95,95,0,0
CTG_financial_statements_2022_separate,90,90,0,0
CTG_financial_statements_2023_consolidated,99,99,0,0
CTG_financial_statements_2023_separate,90,90,0,0
CTG_financial_statements_2024_consolidated,95,95,0,0
CTG_financial_statements_2024_separate,86,86,0,0
CTG_financial_statements_2025_consolidated,98,98,0,0
CTG_financial_statements_2025_separate,95,95,0,0
DBC_financial_statements_2015_consolidated,52,52,0,0
DBC_financial_statements_2015_separate,59,59,0,0
DBC_financial_statements_2016_consolidated,59,59,0,0
DBC_financial_statements_2016_separate,62,62,0,0
DBC_financial_statements_2017_consolidated,60,60,0,0
DBC_financial_statements_2017_separate,60,60,0,0
DBC_financial_statements_2018_consolidated,63,63,0,0
DBC_financial_statements_2018_separate,65,65,0,0
DBC_financial_statements_2019_consolidated,64,64,0,0
DBC_financial_statements_2019_separate,60,60,0,0
DBC_financial_statements_2020_consolidated,64,64,0,0
DBC_financial_statements_2020_separate,59,59,0,0
DBC_financial_statements_2021_consolidated,66,66,0,0
DBC_financial_statements_2021_separate,60,60,0,0
DBC_financial_statements_2022_consolidated,64,64,0,0
DBC_financial_statements_2022_separate,67,67,0,0
DBC_financial_statements_2023_consolidated,64,64,0,0
DBC_financial_statements_2023_separate,66,66,0,0
DBC_financial_statements_2024_consolidated,131,131,0,0
DBC_financial_statements_2024_separate,138,138,0,0
DBC_financial_statements_2025_consolidated,65,65,0,0
DBC_financial_statements_2025_separate,77,77,0,0
DCM_financial_statements_2015_consolidated,51,51,0,0
DCM_financial_statements_2015_separate,53,53,0,0
DCM_financial_statements_2016_consolidated,47,47,0,0
DCM_financial_statements_2016_separate,45,45,0,0
DCM_financial_statements_2017_consolidated,50,50,0,0
DCM_financial_statements_2017_separate,48,48,0,0
DCM_financial_statements_2018_consolidated,53,53,0,0
DCM_financial_statements_2018_separate,56,56,0,0
DCM_financial_statements_2019_consolidated,57,57,0,0
DCM_financial_statements_2019_separate,54,54,0,0
DCM_financial_statements_2020_consolidated,56,56,0,0
DCM_financial_statements_2020_separate,52,52,0,0
DCM_financial_statements_2021_consolidated,64,64,0,0
DCM_financial_statements_2021_separate,66,66,0,0
DCM_financial_statements_2022_consolidated,59,59,0,0
DCM_financial_statements_2022_separate,53,53,0,0
DCM_financial_statements_2023_consolidated,57,57,0,0
DCM_financial_statements_2023_separate,54,54,0,0
DCM_financial_statements_2024_consolidated,62,62,0,0
DCM_financial_statements_2024_separate,58,58,0,0
DCM_financial_statements_2025_consolidated,56,56,0,0
DCM_financial_statements_2025_separate,54,54,0,0
DIG_financial_statements_2015_consolidated,64,64,0,0
DIG_financial_statements_2015_separate,62,62,0,0
DIG_financial_statements_2016_consolidated,72,72,0,0
DIG_financial_statements_2016_separate,73,73,0,0
DIG_financial_statements_2017_consolidated,77,77,0,0
DIG_financial_statements_2017_separate,82,82,0,0
DIG_financial_statements_2018_consolidated,67,67,0,0
DIG_financial_statements_2018_separate,60,60,0,0
DIG_financial_statements_2019_consolidated,60,60,0,0
DIG_financial_statements_2019_separate,55,55,0,0
DIG_financial_statements_2020_consolidated,60,60,0,0
DIG_financial_statements_2020_separate,55,55,0,0
DIG_financial_statements_2021_consolidated,70,70,0,0
DIG_financial_statements_2021_separate,59,59,0,0
DIG_financial_statements_2022_consolidated,75,75,0,0
DIG_financial_statements_2022_separate,62,62,0,0
DIG_financial_statements_2023_consolidated,71,71,0,0
DIG_financial_statements_2023_separate,65,65,0,0
DIG_financial_statements_2024_consolidated,151,151,0,0
DIG_financial_statements_2024_separate,135,135,0,0
DIG_financial_statements_2025_consolidated,160,160,0,0
DIG_financial_statements_2025_separate,133,133,0,0
DLG_financial_statements_2015_consolidated,78,78,0,0
DLG_financial_statements_2015_separate,73,73,0,0
DLG_financial_statements_2016_consolidated,75,75,0,0
DLG_financial_statements_2016_separate,70,70,0,0
DLG_financial_statements_2017_consolidated,79,79,0,0
DLG_financial_statements_2017_separate,72,72,0,0
DLG_financial_statements_2018_consolidated,77,77,0,0
DLG_financial_statements_2018_separate,70,70,0,0
DLG_financial_statements_2019_consolidated,78,78,0,0
DLG_financial_statements_2019_separate,71,71,0,0
DLG_financial_statements_2020_consolidated,71,71,0,0
DLG_financial_statements_2020_separate,67,67,0,0
DLG_financial_statements_2021_consolidated,96,96,0,0
DLG_financial_statements_2021_separate,75,75,0,0
DLG_financial_statements_2022_consolidated,101,101,0,0
DLG_financial_statements_2022_separate,76,76,0,0
DLG_financial_statements_2023_consolidated,92,92,0,0
DLG_financial_statements_2023_separate,70,70,0,0
DLG_financial_statements_2024_consolidated,56,56,0,0
DLG_financial_statements_2024_separate,57,57,0,0
DLG_financial_statements_2025_consolidated,61,61,0,0
DLG_financial_statements_2025_separate,57,57,0,0
DNH_financial_statements_2016_consolidated,50,50,0,0
DNH_financial_statements_2016_separate,44,44,0,0
DNH_financial_statements_2017_consolidated,52,52,0,0
DNH_financial_statements_2017_separate,48,48,0,0
DNH_financial_statements_2018_consolidated,55,55,0,0
DNH_financial_statements_2018_separate,50,50,0,0
DNH_financial_statements_2019_consolidated,54,54,0,0
DNH_financial_statements_2019_separate,49,49,0,0
DNH_financial_statements_2020_consolidated,56,56,0,0
DNH_financial_statements_2020_separate,50,50,0,0
DNH_financial_statements_2021_consolidated,55,55,0,0
DNH_financial_statements_2021_separate,48,48,0,0
DNH_financial_statements_2022_consolidated,57,57,0,0
DNH_financial_statements_2022_separate,48,48,0,0
DNH_financial_statements_2023_consolidated,46,46,0,0
DNH_financial_statements_2023_separate,46,46,0,0
DNH_financial_statements_2024_consolidated,51,51,0,0
DNH_financial_statements_2024_separate,45,45,0,0
DNH_financial_statements_2025_consolidated,50,50,0,0
DNH_financial_statements_2025_separate,51,51,0,0
DPM_financial_statements_2015_consolidated,126,126,0,0
DPM_financial_statements_2016_consolidated,53,53,0,0
DPM_financial_statements_2016_separate,51,51,0,0
DPM_financial_statements_2017_separate,51,51,0,0
DPM_financial_statements_2018_consolidated,54,54,0,0
DPM_financial_statements_2018_separate,52,52,0,0
DPM_financial_statements_2019_consolidated,54,54,0,0
DPM_financial_statements_2019_separate,54,54,0,0
DPM_financial_statements_2020_consolidated,59,59,0,0
DPM_financial_statements_2020_separate,56,56,0,0
DPM_financial_statements_2021_consolidated,60,60,0,0
DPM_financial_statements_2021_separate,57,57,0,0
DPM_financial_statements_2022_consolidated,61,61,0,0
DPM_financial_statements_2022_separate,61,61,0,0
DPM_financial_statements_2023_consolidated,62,62,0,0
DPM_financial_statements_2023_separate,59,59,0,0
DPM_financial_statements_2024_consolidated,128,128,0,0
DPM_financial_statements_2024_separate,129,129,0,0
DPM_financial_statements_2025_consolidated,69,69,0,0
DPM_financial_statements_2025_separate,62,62,0,0
DTK_financial_statements_2015_consolidated,53,53,0,0
DTK_financial_statements_2015_separate,48,48,0,0
DTK_financial_statements_2016_consolidated,48,48,0,0
DTK_financial_statements_2016_separate,43,43,0,0
DTK_financial_statements_2017_consolidated,57,57,0,0
DTK_financial_statements_2017_separate,45,45,0,0
DTK_financial_statements_2018_consolidated,55,55,0,0
DTK_financial_statements_2018_separate,54,54,0,0
DTK_financial_statements_2019_consolidated,55,55,0,0
DTK_financial_statements_2019_separate,50,50,0,0
DTK_financial_statements_2020_consolidated,56,56,0,0
DTK_financial_statements_2020_separate,50,50,0,0
DTK_financial_statements_2021_consolidated,56,56,0,0
DTK_financial_statements_2021_separate,49,49,0,0
DTK_financial_statements_2022_consolidated,65,65,0,0
DTK_financial_statements_2022_separate,63,63,0,0
DTK_financial_statements_2023_consolidated,67,67,0,0
DTK_financial_statements_2023_separate,69,69,0,0
DTK_financial_statements_2024_consolidated,76,76,0,0
DTK_financial_statements_2024_separate,76,76,0,0
DTK_financial_statements_2025_aggregated,55,55,0,0
DTK_financial_statements_2025_consolidated,59,59,0,0
DXG_financial_statements_2015_consolidated,51,51,0,0
DXG_financial_statements_2015_separate,46,46,0,0
DXG_financial_statements_2016_consolidated,100,100,0,0
DXG_financial_statements_2016_separate,74,74,0,0
DXG_financial_statements_2017_consolidated,107,107,0,0
DXG_financial_statements_2017_separate,73,73,0,0
DXG_financial_statements_2018_consolidated,102,102,0,0
DXG_financial_statements_2018_separate,64,64,0,0
DXG_financial_statements_2019_consolidated,105,105,0,0
DXG_financial_statements_2019_separate,69,69,0,0
DXG_financial_statements_2020_consolidated,126,126,0,0
DXG_financial_statements_2020_separate,61,61,0,0
DXG_financial_statements_2021_consolidated,102,102,0,0
DXG_financial_statements_2021_separate,58,58,0,0
DXG_financial_statements_2022_consolidated,95,95,0,0
DXG_financial_statements_2022_separate,62,62,0,0
DXG_financial_statements_2023_consolidated,112,112,0,0
DXG_financial_statements_2023_separate,108,108,0,0
DXG_financial_statements_2024_consolidated,86,86,0,0
DXG_financial_statements_2024_separate,59,59,0,0
DXG_financial_statements_2025_consolidated,85,85,0,0
DXG_financial_statements_2025_separate,61,61,0,0
DXS_financial_statements_2019_consolidated,82,82,0,0
DXS_financial_statements_2019_separate,45,45,0,0
DXS_financial_statements_2020_consolidated,85,85,0,0
DXS_financial_statements_2020_separate,46,46,0,0
DXS_financial_statements_2021_consolidated,83,83,0,0
DXS_financial_statements_2021_separate,47,47,0,0
DXS_financial_statements_2022_consolidated,101,101,0,0
DXS_financial_statements_2022_separate,50,50,0,0
DXS_financial_statements_2023_consolidated,86,86,0,0
DXS_financial_statements_2023_separate,50,50,0,0
DXS_financial_statements_2024_consolidated,84,84,0,0
DXS_financial_statements_2024_separate,49,49,0,0
DXS_financial_statements_2025_consolidated,84,84,0,0
DXS_financial_statements_2025_separate,51,51,0,0
EIB_financial_statements_2015_consolidated,105,105,0,0
EIB_financial_statements_2015_separate,102,102,0,0
EIB_financial_statements_2016_consolidated,93,93,0,0
EIB_financial_statements_2016_separate,90,90,0,0
EIB_financial_statements_2017_consolidated,115,115,0,0
EIB_financial_statements_2017_separate,98,98,0,0
EIB_financial_statements_2018_consolidated,100,100,0,0
EIB_financial_statements_2018_separate,96,96,0,0
EIB_financial_statements_2019_consolidated,100,100,0,0
EIB_financial_statements_2019_separate,94,94,0,0
EIB_financial_statements_2020_consolidated,100,100,0,0
EIB_financial_statements_2020_separate,96,96,0,0
EIB_financial_statements_2021_consolidated,98,98,0,0
EIB_financial_statements_2021_separate,99,99,0,0
EIB_financial_statements_2022_consolidated,97,97,0,0
EIB_financial_statements_2022_separate,100,100,0,0
EIB_financial_statements_2023_consolidated,93,93,0,0
EIB_financial_statements_2023_separate,95,95,0,0
EIB_financial_statements_2024_consolidated,106,106,0,0
EIB_financial_statements_2024_separate,96,96,0,0
EIB_financial_statements_2025_consolidated,94,94,0,0
EIB_financial_statements_2025_separate,89,89,0,0
EVF_financial_statements_2018,75,75,0,0
EVF_financial_statements_2019,74,74,0,0
EVF_financial_statements_2020,75,75,0,0
EVF_financial_statements_2021,76,76,0,0
EVF_financial_statements_2022,85,85,0,0
EVF_financial_statements_2023,90,90,0,0
EVF_financial_statements_2024,89,89,0,0
EVF_financial_statements_2025,87,87,0,0
FIT_financial_statements_2015_consolidated,54,54,0,0
FIT_financial_statements_2015_separate,36,36,0,0
FIT_financial_statements_2016_consolidated,58,58,0,0
FIT_financial_statements_2016_separate,43,43,0,0
FIT_financial_statements_2017_consolidated,64,64,0,0
FIT_financial_statements_2017_separate,43,43,0,0
FIT_financial_statements_2018_consolidated,65,65,0,0
FIT_financial_statements_2018_separate,47,47,0,0
FIT_financial_statements_2019_consolidated,60,60,0,0
FIT_financial_statements_2019_separate,44,44,0,0
FIT_financial_statements_2020_consolidated,64,64,0,0
FIT_financial_statements_2020_separate,47,47,0,0
FIT_financial_statements_2021_consolidated,65,65,0,0
FIT_financial_statements_2021_separate,51,51,0,0
FIT_financial_statements_2022_consolidated,100,100,0,0
FIT_financial_statements_2022_separate,55,55,0,0
FIT_financial_statements_2023_consolidated,92,92,0,0
FIT_financial_statements_2023_separate,52,52,0,0
FIT_financial_statements_2024_consolidated,87,87,0,0
FIT_financial_statements_2024_separate,52,52,0,0
FIT_financial_statements_2025_consolidated,92,92,0,0
FIT_financial_statements_2025_separate,50,50,0,0
FOX_financial_statements_2015_consolidated,50,50,0,0
FOX_financial_statements_2015_separate,48,48,0,0
FOX_financial_statements_2016_consolidated,42,42,0,0
FOX_financial_statements_2016_separate,43,43,0,0
FOX_financial_statements_2017_consolidated,43,43,0,0
FOX_financial_statements_2017_separate,44,44,0,0
FOX_financial_statements_2018_consolidated,40,40,0,0
FOX_financial_statements_2018_separate,38,38,0,0
FOX_financial_statements_2019_consolidated,42,42,0,0
FOX_financial_statements_2019_separate,39,39,0,0
FOX_financial_statements_2020_consolidated,44,44,0,0
FOX_financial_statements_2020_separate,42,42,0,0
FOX_financial_statements_2021_consolidated,60,60,0,0
FOX_financial_statements_2021_separate,78,78,0,0
FOX_financial_statements_2022_consolidated,53,53,0,0
FOX_financial_statements_2022_separate,66,66,0,0
FOX_financial_statements_2023_consolidated,66,66,0,0
FOX_financial_statements_2023_separate,67,67,0,0
FOX_financial_statements_2024_consolidated,62,62,0,0
FOX_financial_statements_2024_separate,66,66,0,0
FOX_financial_statements_2025_consolidated,62,62,0,0
FOX_financial_statements_2025_separate,59,59,0,0
FPT_financial_statements_2015_consolidated,55,55,0,0
FPT_financial_statements_2015_separate,42,42,0,0
FPT_financial_statements_2016_consolidated,60,60,0,0
FPT_financial_statements_2016_separate,40,40,0,0
FPT_financial_statements_2017_consolidated,59,59,0,0
FPT_financial_statements_2017_separate,43,43,0,0
FPT_financial_statements_2018_consolidated,53,53,0,0
FPT_financial_statements_2018_separate,40,40,0,0
FPT_financial_statements_2019_consolidated,52,52,0,0
FPT_financial_statements_2019_separate,43,43,0,0
FPT_financial_statements_2020_consolidated,58,58,0,0
FPT_financial_statements_2020_separate,47,47,0,0
FPT_financial_statements_2021_consolidated,69,69,0,0
FPT_financial_statements_2021_separate,53,53,0,0
FPT_financial_statements_2022_consolidated,90,90,0,0
FPT_financial_statements_2022_separate,57,57,0,0
FPT_financial_statements_2023_consolidated,84,84,0,0
FPT_financial_statements_2023_separate,47,47,0,0
FPT_financial_statements_2024_consolidated,89,89,0,0
FPT_financial_statements_2024_separate,48,48,0,0
FPT_financial_statements_2025_consolidated,89,89,0,0
FPT_financial_statements_2025_separate,48,48,0,0
FTS_financial_statements_2017,65,65,0,0
FTS_financial_statements_2018,66,66,0,0
FTS_financial_statements_2019,56,56,0,0
FTS_financial_statements_2020,58,58,0,0
FTS_financial_statements_2021,52,52,0,0
FTS_financial_statements_2022,72,72,0,0
FTS_financial_statements_2023,56,56,0,0
FTS_financial_statements_2024,119,119,0,0
FTS_financial_statements_2025,125,125,0,0
GAS_financial_statements_2015_consolidated,80,80,0,0
GAS_financial_statements_2015_separate,64,64,0,0
GAS_financial_statements_2016_consolidated,65,65,0,0
GAS_financial_statements_2016_separate,55,55,0,0
GAS_financial_statements_2017_consolidated,62,62,0,0
GAS_financial_statements_2017_separate,57,57,0,0
GAS_financial_statements_2018_consolidated,64,64,0,0
GAS_financial_statements_2018_separate,55,55,0,0
GAS_financial_statements_2019_consolidated,63,63,0,0
GAS_financial_statements_2019_separate,53,53,0,0
GAS_financial_statements_2020_consolidated,77,77,0,0
GAS_financial_statements_2020_separate,69,69,0,0
GAS_financial_statements_2021_consolidated,77,77,0,0
GAS_financial_statements_2021_separate,81,81,0,0
GAS_financial_statements_2022_consolidated,71,71,0,0
GAS_financial_statements_2022_separate,76,76,0,0
